SST(°C) mean stdv
7.360000 0.342267 0.084303
7.370000 0.342565 0.084251
7.380000 0.342863 0.084261
7.390000 0.343161 0.084244
7.400000 0.343458 0.084150
7.410000 0.343756 0.084056
7.420000 0.344053 0.083962
7.430000 0.344351 0.083870
7.440000 0.344648 0.083778
7.450000 0.344945 0.083687
7.460000 0.345241 0.083597
7.470000 0.345538 0.083508
7.480000 0.345834 0.083421
7.490000 0.346131 0.083334
7.500000 0.346427 0.083277
7.510000 0.346723 0.083276
7.520000 0.347018 0.083274
7.530000 0.347314 0.083273
7.540000 0.347609 0.083271
7.550000 0.347905 0.083270
7.560000 0.348200 0.083238
7.570000 0.348495 0.083148
7.580000 0.348790 0.083059
7.590000 0.349084 0.082972
7.600000 0.349379 0.082896
7.610000 0.349673 0.082889
7.620000 0.349967 0.082881
7.630000 0.350261 0.082829
7.640000 0.350555 0.082821
7.650000 0.350849 0.082814
7.660000 0.351142 0.082806
7.670000 0.351436 0.082798
7.680000 0.351729 0.082790
7.690000 0.352022 0.082730
7.700000 0.352315 0.082710
7.710000 0.352608 0.082678
7.720000 0.352900 0.082585
7.730000 0.353193 0.082495
7.740000 0.353485 0.082470
7.750000 0.353777 0.082458
7.760000 0.354069 0.082444
7.770000 0.354361 0.082431
7.780000 0.354652 0.082417
7.790000 0.354944 0.082404
7.800000 0.355235 0.082390
7.810000 0.355526 0.082376
7.820000 0.355817 0.082362
7.830000 0.356108 0.082347
7.840000 0.356399 0.082333
7.850000 0.356689 0.082318
7.860000 0.356979 0.082304
7.870000 0.357270 0.082290
7.880000 0.357560 0.082275
7.890000 0.357850 0.082200
7.900000 0.358139 0.082089
7.910000 0.358429 0.082071
7.920000 0.358718 0.082019
7.930000 0.359007 0.081968
7.940000 0.359296 0.081856
7.950000 0.359585 0.081831
7.960000 0.359874 0.081732
7.970000 0.360163 0.081664
7.980000 0.360451 0.081639
7.990000 0.360739 0.081566
8.000000 0.361028 0.081458
8.010000 0.361315 0.081354
8.020000 0.361603 0.081253
8.030000 0.361891 0.081207
8.040000 0.362178 0.081173
8.050000 0.362466 0.081138
8.060000 0.362753 0.081103
8.070000 0.363040 0.081068
8.080000 0.363327 0.080985
8.090000 0.363614 0.080941
8.100000 0.363900 0.080902
8.110000 0.364186 0.080863
8.120000 0.364473 0.080822
8.130000 0.364759 0.080756
8.140000 0.365045 0.080714
8.150000 0.365331 0.080631
8.160000 0.365616 0.080586
8.170000 0.365902 0.080510
8.180000 0.366187 0.080462
8.190000 0.366472 0.080350
8.200000 0.366757 0.080236
